Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),Dividend Remittance In Foreign Currency,EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,Fixed Assets,Foreign Exchange Gains / Losses,Intangible Assets,Interest,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Mar-04,0,37.97,11,16.6,77.38,77.38,15.44,118.63,72.78,37.12,72.78,13.01,23.18,30.96249962,205.15,0,0.67,7.28,0,11,10,76.82,90.82,50.74,22.07,7.85,9.18,0.04,91.07,8855.15,59.18,371.14,323.91,0.2,51.63,1.01,0,0,98.23,0,0,7.83,-171.35,-391.35,598.16,35.26,28.87,97.48,339.53,11,2250.36,2154.54,0,205.82,84.62,42.06,0,0,20,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,35.57,13.55,30.52,11.63,30.1,11.47,3.85,7.83,0.67,0,2231.96,9.17,10.96,13.63,14.21,38.09,0,127.08,154.27,0,153.65,0.02,2970,2970,388.45,580.56,0.04,5605.158182,2581.55,98.23,2231.96,59.22,2291.18,220.47,168.59,0,13.89
Jun-04,0,37.97,11,16.6,77.38,77.38,15.44,118.63,72.78,37.12,72.78,13.01,23.18,37.3125,205.15,0,0.67,7.28,0,11,10,76.82,90.82,50.74,22.07,7.85,9.18,0.04,95.26,8855.15,59.22,371.14,323.91,0.2,51.63,2.25,0,0,98.23,0,0,7.83,-171.35,-391.35,598.16,35.26,28.87,57.71,339.53,11,2250.36,2154.54,0,205.82,103.41,36.88,0,0,20,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,35.57,13.55,30.52,11.63,30.1,11.47,3.85,7.83,0.67,0,2231.96,9.17,10.96,13.63,14.21,38.09,0,127.08,154.27,0,153.65,6.34,2970,2970,388.45,580.56,0.04,5605.158182,2581.55,98.23,2231.96,59.22,2291.18,220.47,168.59,0,14.73
Sep-04,0,37.97,11,16.6,77.38,77.38,15.44,118.63,72.78,37.12,72.78,13.01,23.18,44.52500153,205.15,0,0.67,7.28,0,11,10,76.82,90.82,50.74,22.07,7.85,9.18,0.04,114.43,8855.15,59.3,371.14,323.91,0.2,51.63,0.82,0,0,98.23,0,0,7.83,-171.35,-391.35,598.16,35.26,28.87,90.75,339.53,11,2250.36,2154.54,0,205.82,94.2,42.73,0,0,20,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,35.57,13.55,30.52,11.63,30.1,11.47,3.85,7.83,0.67,0,2231.96,9.17,10.96,13.63,14.21,38.09,0,127.08,154.27,0,153.65,4.46,2970,2970,388.45,580.56,0.04,5605.158182,2581.55,98.23,2231.96,59.22,2291.18,220.47,168.59,0,15.35
Dec-04,0,37.97,11,16.6,77.38,77.38,15.44,118.63,72.78,37.12,72.78,13.01,23.18,42.99499893,205.15,0,0.67,7.28,0,11,10,76.82,90.82,50.74,22.07,7.85,9.18,0.04,118.09,8855.15,63.44,371.14,323.91,0.2,51.63,1.36,0,0,98.23,0,0,7.83,-171.35,-391.35,598.16,35.26,28.87,76.54,339.53,11,2250.36,2154.54,0,205.82,98.7,10.4,0,0,20,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,35.57,13.55,30.52,11.63,30.1,11.47,3.85,7.83,0.67,0,2231.96,9.17,10.96,13.63,14.21,38.09,0,127.08,154.27,0,153.65,2.52,2970,2970,388.45,580.56,0.04,5605.158182,2581.55,98.23,2231.96,59.22,2291.18,220.47,168.59,0,16.44
Mar-05,0,39.71,10.32,16.6,89.6,89.6,29.08,71.78,84.53,72.99,84.53,12.43,-26.43,46.5625,511.56,0,0.8,7.5,0,10.32,16,126.43,152.38,98.65,30.19,8.59,-52.38,0.03,126.24,12425.85,63.63,427.22,431.73,0,59.8,1.68,0,0,96.69,0,0,8.58,-493.71,239.51,265.74,11.54,22.75,76.76,338.93,10.32,2654.66,2622.08,0,171.19,99.45,15.26,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,28.44,12.9,23.77,10.78,23.42,10.62,4.34,8.58,0.8,0,2796.14,-52.38,9.03,11.13,11.51,45.33,0,158.52,173.93,0,300.15,2.93,3643.35,3643.35,549.46,685.04,0.03,5605.158182,3093.89,96.69,2796.14,63.84,2859.98,339.92,306.41,0,17.47
Jun-05,0,39.71,10.32,16.6,89.6,89.6,29.08,71.78,84.53,72.99,84.53,12.43,-26.43,48.6875,511.56,0,0.8,7.5,0,10.32,16,126.43,152.38,98.65,30.19,8.59,-52.38,0.03,132.27,12425.85,63.84,427.22,431.73,0,59.8,1.76,0,0,96.69,0,0,8.58,-493.71,239.51,265.74,11.54,22.75,85.22,338.93,10.32,2654.66,2622.08,0,171.19,186.79,21.49,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,28.44,12.9,23.77,10.78,23.42,10.62,4.34,8.58,0.8,0,2796.14,-52.38,9.03,11.13,11.51,45.33,0,158.52,173.93,0,300.15,-0.25,3643.35,3643.35,549.46,685.04,0.03,5605.158182,3093.89,96.69,2796.14,63.84,2859.98,339.92,306.41,0,18.3
Sep-05,0,39.71,10.32,16.6,89.6,89.6,29.08,71.78,84.53,72.99,84.53,12.43,-26.43,56.90750122,511.56,0,0.8,7.5,0,10.32,16,126.43,152.38,98.65,30.19,8.59,-52.38,0.03,157.84,12425.85,64,427.22,431.73,0,59.8,1.42,0,0,96.69,0,0,8.58,-493.71,239.51,265.74,11.54,22.75,89.39,338.93,10.32,2654.66,2622.08,0,171.19,127.15,11.97,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,28.44,12.9,23.77,10.78,23.42,10.62,4.34,8.58,0.8,0,2796.14,-52.38,9.03,11.13,11.51,45.33,0,158.52,173.93,0,300.15,3.14,3643.35,3643.35,549.46,685.04,0.03,5605.158182,3093.89,96.69,2796.14,63.84,2859.98,339.92,306.41,0,18.96
Dec-05,0,39.71,10.32,16.6,89.6,89.6,29.08,71.78,84.53,72.99,84.53,12.43,-26.43,67.38749695,511.56,0,0.8,7.5,0,10.32,16,126.43,152.38,98.65,30.19,8.59,-52.38,0.03,429.42,12425.85,64.33,427.22,431.73,0,59.8,4,0,0,96.69,0,0,8.58,-493.71,239.51,265.74,11.54,22.75,277.79,338.93,10.32,2654.66,2622.08,0,171.19,183.96,31.71,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,28.44,12.9,23.77,10.78,23.42,10.62,4.34,8.58,0.8,0,2796.14,-52.38,9.03,11.13,11.51,45.33,0,158.52,173.93,0,300.15,6.93,3643.35,3643.35,549.46,685.04,0.03,5605.158182,3093.89,96.69,2796.14,63.84,2859.98,339.92,306.41,0,50.84
Mar-06,0,81.4,19.74,16.6,79.64,79.64,64.88,163.63,106.22,107.3,106.22,24.03,33.6,81.77500153,331.01,0,0.98,17.83,0,19.74,16,66.4,80.84,98.39,20.1,5.32,19.16,0.04,288.35,16147.58,64.56,758,689.31,0,97.84,1.59,0,0,13.38,0,0,5.35,-641.79,-133.33,774.04,-1.08,21.04,134.76,653.83,19.74,1907.76,1323.33,0,235.13,176.14,21.22,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,26.49,24.84,21.91,20.55,21.55,20.21,6.3,5.35,0.98,0,2511.18,19.15,17.13,24.64,24.78,93.77,0,358.58,200.08,0,427.84,-1,3725.68,3725.68,1110.78,1135.1,0.01,5605.158182,2614.9,13.38,2511.18,64.69,2575.87,699.89,645.98,0,34.29
Jun-06,0,81.4,19.74,16.6,79.64,79.64,64.88,163.63,106.22,107.3,106.22,24.03,33.6,63.08250046,331.01,0,0.98,17.83,0,19.74,16,66.4,80.84,98.39,20.1,5.32,19.16,0.04,296.29,16147.58,64.69,758,689.31,0,97.84,5.73,0,0,13.38,0,0,5.35,-641.79,-133.33,774.04,-1.08,21.04,136.45,653.83,19.74,1907.76,1323.33,0,235.13,333.63,18.45,0,0,0,1556.875,1960.728485,1983.762273,1816.820455,1962.145758,26.49,24.84,21.91,20.55,21.55,20.21,6.3,5.35,0.98,0,2511.18,19.15,17.13,24.64,24.78,93.77,0,358.58,200.08,0,427.84,6.38,3725.68,3725.68,1110.78,1135.1,0.01,5605.158182,2614.9,13.38,2511.18,64.69,2575.87,699.89,645.98,0,34.7
